filename,data_type,flagged_rows,total_rows,flagged_percentage,flag_missing_Began,flag_has_canceled,flag_too_few_points,flag_improper_sequence_order,flag_orphaned_events,flag_missing_Ended,flag_sequence_interrupted
Coloring_2025-04-03 11_41_53.821624_67ed65c92d5fe54f0102f579,Coloring,61,2111,2.89%,10.0,5.0,2.0,18.0,1.0,34,
Coloring_2022-01-11 10_30_08.697216_61dd0d1c1d8fbeb384c4589d,Coloring,4,3330,0.12%,,,2.0,2.0,,2,
Coloring_2022-02-18 11_34_12.915743_620f35f45c06161c56124180,Coloring,44,1147,3.84%,,35.0,,2.0,3.0,39,
Coloring_2022-01-14 12_49_47.024746_61e122d61d8fbe7ae4c45ae7,Coloring,30,1858,1.61%,,21.0,2.0,6.0,1.0,23,
Coloring_2025-04-03 12_00_45.497382_67ed65c92d5fe54f0102f58c,Coloring,61,2072,2.94%,7.0,,,22.0,1.0,31,
Coloring_2022-02-09 11_30_21.913888_620357045c06165cc9124167,Coloring,21,4751,0.44%,,8.0,,6.0,4.0,11,
Coloring_2025-04-03 11_53_08.094235_67ed65c92d5fe54f0102f580,Coloring,46,3377,1.36%,14.0,,,,1.0,31,
Coloring_2025-04-03 11_35_10.223199_67ed65c92d5fe54f0102f5c8,Coloring,85,1560,5.45%,5.0,,,48.0,1.0,31,
Coloring_2022-02-08 13_49_37.615466_620226115c0616af26124166,Coloring,102,974,10.47%,,45.0,1.0,49.0,3.0,50,47.0
Coloring_2022-01-27 12_18_33.904824_61f23f441d8fbe29f0c45c35,Coloring,1726,3102,55.64%,98.0,1011.0,134.0,708.0,39.0,1013,536.0
Coloring_2022-01-12 11_14_47.544798_61de69cf1d8fbe9557c459c4,Coloring,301,1425,21.12%,,202.0,11.0,99.0,7.0,203,75.0
Coloring_2022-02-18 11_35_08.376228_620f35f45c06161c56124180,Coloring,27,776,3.48%,,18.0,4.0,2.0,7.0,20,
Coloring_2025-04-03 11_32_50.719854_67ed65c92d5fe54f0102f5c8,Coloring,57,1947,2.93%,,,,28.0,,29,
Coloring_2022-01-12 11_16_54.565385_61de69cf1d8fbe9557c459c4,Coloring,142,253,56.13%,,49.0,,84.0,6.0,52,72.0
Coloring_2025-04-03 12_02_02.630081_67ed65c92d5fe54f0102f58c,Coloring,49,1494,3.28%,11.0,,,6.0,1.0,31,
Coloring_2022-02-12 12_17_39.554440_620752d45c0616549d12416a,Coloring,14,2817,0.5%,,9.0,,,2.0,12,
Coloring_2025-04-03 11_28_43.597817_67ed65c92d5fe54f0102f5c1,Coloring,44,1776,2.48%,8.0,,,4.0,1.0,31,
Coloring_2022-01-14 12_53_50.743681_61e122d61d8fbe7ae4c45ae7,Coloring,16,228,7.02%,,4.0,2.0,10.0,,6,
Coloring_2025-04-03 11_40_30.552102_67ed65c92d5fe54f0102f579,Coloring,41,2598,1.58%,,,,10.0,,31,
Coloring_2022-02-12 11_32_09.999599_62074cd75c0616b4ab124169,Coloring,322,2729,11.8%,,74.0,2.0,30.0,12.0,280,28.0
Coloring_2025-04-03 11_33_46.179640_67ed65c92d5fe54f0102f5c8,Coloring,195,1520,12.83%,7.0,,,156.0,1.0,31,
Coloring_2022-02-18 11_33_00.536023_620f35f45c06161c56124180,Coloring,638,2567,24.85%,8.0,395.0,4.0,221.0,14.0,397,207.0
Coloring_2025-04-03 11_48_40.731132_67ed65c92d5fe54f0102f580,Coloring,53,2839,1.87%,,,,22.0,,31,
Coloring_2022-02-08 13_47_30.949284_620226115c0616af26124166,Coloring,125,1202,10.4%,,121.0,4.0,4.0,1.0,124,
Coloring_2025-04-03 11_26_01.514823_67ed65c92d5fe54f0102f5c1,Coloring,35,1911,1.83%,,,,4.0,,31,
Coloring_2022-02-12 11_36_14.208262_62074cd75c0616b4ab124169,Coloring,194,2727,7.11%,,54.0,2.0,118.0,14.0,64,116.0
Coloring_2025-04-03 11_27_16.129215_67ed65c92d5fe54f0102f5c1,Coloring,32,1729,1.85%,,,,2.0,,30,
Coloring_2022-01-14 12_46_13.635337_61e122d61d8fbe7ae4c45ae7,Coloring,9,1253,0.72%,,2.0,2.0,4.0,1.0,6,
Coloring_2022-01-11 10_25_28.733352_61dd0d1c1d8fbeb384c4589d,Coloring,69,1871,3.69%,,58.0,1.0,6.0,4.0,59,
Coloring_2022-02-12 12_19_02.354145_620752d45c0616549d12416a,Coloring,10,1655,0.6%,,6.0,2.0,,2.0,8,
Coloring_2022-02-12 12_15_27.794617_620752d45c0616549d12416a,Coloring,31,2814,1.1%,,15.0,1.0,11.0,4.0,16,11.0
Coloring_2025-04-03 11_59_19.766477_67ed65c92d5fe54f0102f58c,Coloring,31,1875,1.65%,,,,,,31,
Coloring_2022-01-27 12_15_31.237216_61f23f441d8fbe29f0c45c35,Coloring,253,971,26.06%,,124.0,36.0,152.0,9.0,126,106.0
Coloring_2021-06-10 19_16_25.202659_60c1b314625faf1d31ad63bb,Coloring,9,587,1.53%,,,,4.0,,5,
Coloring_2022-02-09 11_33_39.854538_620357045c06165cc9124167,Coloring,21,4473,0.47%,,12.0,3.0,8.0,2.0,13,
Coloring_2021-06-10 18_55_51.243907_60c1b314625faf1d31ad63bb,Coloring,4,498,0.8%,,,2.0,2.0,,2,
Coloring_2021-06-10 23_03_55.624973_60c1b314625faf1d31ad63bb,Coloring,5,418,1.2%,,,2.0,,3.0,2,
Coloring_2022-02-12 11_34_15.518256_62074cd75c0616b4ab124169,Coloring,394,2930,13.45%,,241.0,8.0,143.0,12.0,243,133.0
Coloring_2022-01-11 10_27_08.568238_61dd0d1c1d8fbeb384c4589d,Coloring,402,2099,19.15%,,399.0,3.0,4.0,,400,
Coloring_2022-02-09 11_27_02.924146_620357045c06165cc9124167,Coloring,1530,3930,38.93%,,653.0,2.0,869.0,5.0,656,855.0
Coloring_2022-01-14 12_47_50.730692_61e122d61d8fbe7ae4c45ae7,Coloring,188,1466,12.82%,,181.0,2.0,4.0,2.0,184,
Coloring_2025-04-03 11_42_51.162206_67ed65c92d5fe54f0102f579,Coloring,43,1422,3.02%,5.0,,,6.0,1.0,31,
Coloring_2022-02-08 13_45_25.328039_620226115c0616af26124166,Coloring,354,1518,23.32%,24.0,284.0,19.0,24.0,39.0,285,
Coloring_2025-04-03 11_50_36.233107_67ed65c92d5fe54f0102f580,Coloring,103,2505,4.11%,21.0,,,50.0,2.0,30,
Coloring_2022-01-27 12_16_59.682831_61f23f441d8fbe29f0c45c35,Coloring,606,1552,39.05%,,497.0,63.0,138.0,25.0,503,72.0
Coloring_2022-01-12 11_21_40.895511_61de69cf1d8fbe9557c459c4,Coloring,9,1429,0.63%,,2.0,2.0,6.0,,5,
Coloring_2022-01-12 11_17_30.613271_61de69cf1d8fbe9557c459c4,Coloring,4,4,100.0%,,,,,,4,
